,month_num,year_num,quarter,lag_1,lag_2,lag_3,rolling_3,rolling_6,Predicted_Expense
2025-01-01,1,2025,1,1018688.0,628371.0,636971.0,761343.3333333334,753558.3333333334,819112.94
2025-02-01,2,2025,1,819112.9375,1018688.0,628371.0,822057.3125,789572.0,646175.6
2025-03-01,3,2025,1,646175.625,819112.9375,1018688.0,827992.1875,771875.2604166666,852915.375
2025-04-01,4,2025,2,852915.375,646175.625,819112.9375,772734.6875,767038.9895833334,799234.875
2025-05-01,5,2025,2,799234.875,852915.375,646175.625,766108.6875,794082.96875,607061.625
2025-06-01,6,2025,2,607061.625,799234.875,852915.375,753070.6875,790531.40625,834895.4375
